Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.29     0.00  4278894     0.00     0.00  std::vector<State*, std::allocator<State*> >::empty() const
  0.00      0.29     0.00  3530673     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator=(std::vector<bool, std::allocator<bool> > const&)
  0.00      0.29     0.00  3505047     0.00     0.00  std::vector<bool, std::allocator<bool> >::capacity() const
  0.00      0.29     0.00  2671883     0.00     0.00  std::vector<State*, std::allocator<State*> >::_M_fill_insert(__gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >, unsigned long, State* const&)
  0.00      0.29     0.00  1452935     0.00     0.00  GetSuccessors(xyLoc, std::vector<xyLoc, std::allocator<xyLoc> >&)
  0.00      0.29     0.00  1125660     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_fill_insert(std::_Bit_iterator, unsigned long, bool)
  0.00      0.29     0.00   553089     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::insert(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc const&)
  0.00      0.29     0.00   480840     0.00     0.00  PrepareForSearch(std::vector<bool, std::allocator<bool> >&, int, int, char const*)
  0.00      0.29     0.00   480840     0.00     0.00  GetIndex(xyLoc)
  0.00      0.29     0.00   409230     0.00     0.00  std::vector<State*, std::allocator<State*> >::resize(unsigned long, State*)
  0.00      0.29     0.00   408514     0.00     0.00  State** std::__copy_move_backward_a2<false, State**, State**>(State**, State**, State**)
  0.00      0.29     0.00   348647     0.00     0.00  std::_Iter_base<unsigned long*, false>::_S_base(unsigned long*)
  0.00      0.29     0.00   314770     0.00     0.00  std::vector<State*, std::allocator<State*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >, State* const&)
  0.00      0.29     0.00   276873     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::push_back(xyLoc const&)
  0.00      0.29     0.00   276861     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<State*> >::destroy(std::allocator<State*>&, State**)
  0.00      0.29     0.00   276389     0.00     0.00  std::_Vector_base<State*, std::allocator<State*> >::_Vector_impl::_Vector_impl()
  0.00      0.29     0.00   241242     0.00     0.00  std::_Bit_iterator std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      0.29     0.00   215846     0.00     0.00  std::_Bit_iterator std::copy<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      0.29     0.00   204615     0.00     0.00  __gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >::operator-(long) const
  0.00      0.29     0.00   204615     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl()
  0.00      0.29     0.00   191622     0.00     0.00  State** std::__uninitialized_fill_n_a<State**, unsigned long, State*, State*>(State**, unsigned long, State* const&, std::allocator<State*>&)
  0.00      0.29     0.00   177558     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__max_element<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.29     0.00   172171     0.00     0.00  std::_Iter_base<std::_Bit_iterator, false>::_S_base(std::_Bit_iterator)
  0.00      0.29     0.00   143548     0.00     0.00  unsigned long* std::copy<unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      0.29     0.00   103837     0.00     0.00  std::vector<bool, std::allocator<bool> >::resize(unsigned long, bool)
  0.00      0.29     0.00    72248     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<unsigned long> >::deallocate(std::allocator<unsigned long>&, unsigned long*, unsigned long)
  0.00      0.29     0.00    72248     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00      0.29     0.00    72248     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_allocate(unsigned long)
  0.00      0.29     0.00    72248     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a<unsigned long*, int>(unsigned long*, unsigned long*, int const&)
  0.00      0.29     0.00    72246     0.00     0.00  std::_Vector_base<State*, std::allocator<State*> >::_Vector_base()
  0.00      0.29     0.00    72246     0.00     0.00  std::_Vector_base<State*, std::allocator<State*> >::~_Vector_base()
  0.00      0.29     0.00    72246     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_base()
  0.00      0.29     0.00    71778     0.00     0.00  std::_Vector_base<xyLoc, std::allocator<xyLoc> >::_Vector_impl::~_Vector_impl()
  0.00      0.29     0.00    71774     0.00     0.00  std::vector<State*, std::allocator<State*> >::max_size() const
  0.00      0.29     0.00    56666     0.00     0.00  xyLoc* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc*, xyLoc>(__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >, __gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc*, std::allocator<xyLoc>&)
  0.00      0.29     0.00    53265     0.00     0.00  __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::difference_type __gnu_cxx::operator-<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&, __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&)
  0.00      0.29     0.00    49620     0.00     0.00  __gnu_cxx::new_allocator<State*>::deallocate(State**, unsigned long)
  0.00      0.29     0.00    49620     0.00     0.00  xyLoc* std::__copy_move_a<false, xyLoc*, xyLoc*>(xyLoc*, xyLoc*, xyLoc*)
  0.00      0.29     0.00    29574     0.00     0.00  std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.29     0.00    25896     0.00     0.00  ScenarioLoader::ScenarioLoader(char const*)
  0.00      0.29     0.00    20166     0.00     0.00  xyLoc* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<xyLoc>(xyLoc const*, xyLoc const*, xyLoc*)
  0.00      0.29     0.00    18725     0.00     0.00  xyLoc* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<xyLoc>(xyLoc const*, xyLoc const*, xyLoc*)
  0.00      0.29     0.00    16116     0.00     0.00  std::vector<stats, std::allocator<stats> >::_M_fill_insert(__gnu_cxx::__normal_iterator<stats*, std::vector<stats, std::allocator<stats> > >, unsigned long, stats const&)
  0.00      0.29     0.00    14971     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.00      0.29     0.00    11908     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00      0.29     0.00    11287     0.00     0.00  std::vector<double, std::allocator<double> >::_M_insert_aux(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)
  0.00      0.29     0.00    10701     0.00     0.00  main
  0.00      0.29     0.00    10527     0.00     0.00  std::vector<Experiment, std::allocator<Experiment> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Experiment*, std::vector<Experiment, std::allocator<Experiment> > >, Experiment const&)
  0.00      0.29     0.00     9896     0.00     0.00  stats::stats(stats const&)
  0.00      0.29     0.00     9156     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::operator=(std::vector<xyLoc, std::allocator<xyLoc> > const&)
  0.00      0.29     0.00     8145     0.00     0.00  Experiment::Experiment(int, int, int, int, int, int, int, double, std::string)
  0.00      0.29     0.00     7991     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >, long, State*, __gnu_cxx::__ops::_Iter_comp_iter<StateComparator> >(__gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >, long, long, State*, __gnu_cxx::__ops::_Iter_comp_iter<StateComparator>)
  0.00      0.29     0.00     7290     0.00     0.00  __gnu_cxx::new_allocator<xyLoc>::max_size() const
  0.00      0.29     0.00     7290     0.00     0.00  std::_Iter_base<std::_Bit_const_iterator, false>::_S_base(std::_Bit_const_iterator)
  0.00      0.29     0.00     7082     0.00     0.00  stats::stats()
  0.00      0.29     0.00     7081     0.00     0.00  int* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<int>(int const*, int const*, int*)
  0.00      0.29     0.00     6141     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >, false>::_S_base(__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >)
  0.00      0.29     0.00     6064     0.00     0.00  std::_Bit_iterator std::copy_backward<std::_Bit_iterator, std::_Bit_iterator>(std::_Bit_iterator, std::_Bit_iterator, std::_Bit_iterator)
  0.00      0.29     0.00     5764     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.29     0.00     5293     0.00     0.00  Experiment::Experiment(int, int, int, int, int, double, std::string)
  0.00      0.29     0.00     5263     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >) const
  0.00      0.29     0.00     5263     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00      0.29     0.00     5263     0.00     0.00  stats* std::__uninitialized_copy<false>::__uninit_copy<stats*, stats*>(stats*, stats*, stats*)
  0.00      0.29     0.00     4323     0.00     0.00  stats* std::__copy_move_backward<false, false, std::random_access_iterator_tag>::__copy_move_b<stats*, stats*>(stats*, stats*, stats*)
  0.00      0.29     0.00     4323     0.00     0.00  double* std::vector<double, std::allocator<double> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(unsigned long, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.29     0.00     4323     0.00     0.00  int* std::copy_backward<int*, int*>(int*, int*, int*)
  0.00      0.29     0.00     4292     0.00     0.00  double* std::copy_backward<double*, double*>(double*, double*, double*)
  0.00      0.29     0.00     4261     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > > >(__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >)
  0.00      0.29     0.00     4222     0.00     0.00  std::vector<stats, std::allocator<stats> >::size() const
  0.00      0.29     0.00     4145     0.00     0.00  std::_Niter_base<State**>::iterator_type std::__niter_base<State**>(State**)
  0.00      0.29     0.00     4145     0.00     0.00  unsigned long* std::__copy_move_a<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      0.29     0.00     3841     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      0.29     0.00     3822     0.00     0.00  int* std::__copy_move_backward_a<false, int*, int*>(int*, int*, int*)
  0.00      0.29     0.00     3352     0.00     0.00  std::vector<stats, std::allocator<stats> >::resize(unsigned long, stats)
  0.00      0.29     0.00     3340     0.00     0.00  std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&)
  0.00      0.29     0.00     2892     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      0.29     0.00     2882     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.29     0.00     2882     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.29     0.00     2882     0.00     0.00  double* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.00      0.29     0.00     2387     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      0.29     0.00     2381     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.29     0.00     2381     0.00     0.00  std::_Vector_base<stats, std::allocator<stats> >::~_Vector_base()
  0.00      0.29     0.00     2381     0.00     0.00  double* std::uninitialized_copy<double*, double*>(double*, double*, double*)
  0.00      0.29     0.00     2347     0.00     0.00  stats::ValidatePath(int, int, std::vector<bool, std::allocator<bool> > const&)
  0.00      0.29     0.00     2300     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::back()
  0.00      0.29     0.00     1921     0.00     0.00  ScenarioLoader::Save(char const*)
  0.00      0.29     0.00     1921     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.29     0.00     1913     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.00      0.29     0.00     1911     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.29     0.00     1911     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<int> >::construct<int>(std::allocator<int>&, int*, int const&)
  0.00      0.29     0.00     1911     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      0.29     0.00     1911     0.00     0.00  stats* std::__uninitialized_copy_a<stats*, stats*, stats>(stats*, stats*, stats*, std::allocator<stats>&)
  0.00      0.29     0.00     1880     0.00     0.00  stats* std::__addressof<stats>(stats&)
  0.00      0.29     0.00     1880     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.29     0.00     1460     0.00     0.00  std::_Vector_base<Experiment, std::allocator<Experiment> >::_Vector_impl::~_Vector_impl()
  0.00      0.29     0.00     1451     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.29     0.00     1441     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::destroy(std::allocator<double>&, double*)
  0.00      0.29     0.00     1441     0.00     0.00  bool __gnu_cxx::operator==<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.29     0.00     1441     0.00     0.00  __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::operator-(long) const
  0.00      0.29     0.00     1441     0.00     0.00  std::allocator<stats>::~allocator()
  0.00      0.29     0.00     1441     0.00     0.00  std::_Vector_base<Experiment, std::allocator<Experiment> >::_M_deallocate(Experiment*, unsigned long)
  0.00      0.29     0.00     1441     0.00     0.00  std::_Vector_base<stats, std::allocator<stats> >::_M_deallocate(stats*, unsigned long)
  0.00      0.29     0.00     1441     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.29     0.00     1441     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00      0.29     0.00     1441     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      0.29     0.00     1441     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.29     0.00     1441     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.29     0.00     1441     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.29     0.00     1441     0.00     0.00  int* std::uninitialized_copy<int*, int*>(int*, int*, int*)
  0.00      0.29     0.00     1441     0.00     0.00  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00      0.29     0.00     1441     0.00     0.00  void std::_Destroy<Experiment*>(Experiment*, Experiment*)
  0.00      0.29     0.00     1441     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      0.29     0.00     1410     0.00     0.00  std::_Vector_base<Experiment, std::allocator<Experiment> >::~_Vector_base()
  0.00      0.29     0.00     1410     0.00     0.00  void std::_Destroy<Experiment*, Experiment>(Experiment*, Experiment*, std::allocator<Experiment>&)
  0.00      0.29     0.00     1400     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      0.29     0.00      990     0.00     0.00  std::vector<Experiment, std::allocator<Experiment> >::~vector()
  0.00      0.29     0.00      981     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      0.29     0.00      981     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*)
  0.00      0.29     0.00      981     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.29     0.00      954     0.00     0.00  State** std::copy_backward<State**, State**>(State**, State**, State**)
  0.00      0.29     0.00      951     0.00     0.00  stats::operator=(stats const&)
  0.00      0.29     0.00      940     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.29     0.00      940     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00      0.29     0.00      940     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.29     0.00      940     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.29     0.00      940     0.00     0.00  int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.29     0.00      940     0.00     0.00  stats* std::__copy_move_backward_a2<false, stats*, stats*>(stats*, stats*, stats*)
  0.00      0.29     0.00      940     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.29     0.00      940     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.29     0.00      938     0.00     0.00  ScenarioLoader::~ScenarioLoader()
  0.00      0.29     0.00      936     0.00     0.00  std::vector<stats, std::allocator<stats> >::insert(__gnu_cxx::__normal_iterator<stats*, std::vector<stats, std::allocator<stats> > >, unsigned long, stats const&)
  0.00      0.29     0.00      930     0.00     0.00  std::allocator<double>::~allocator()
  0.00      0.29     0.00      920     0.00     0.00  stats* std::__uninitialized_fill_n<false>::__uninit_fill_n<stats*, unsigned long, stats>(stats*, unsigned long, stats const&)
  0.00      0.29     0.00      840     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
  0.00      0.29     0.00      511     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.29     0.00      505     0.00     0.00  __gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >::base() const
  0.00      0.29     0.00      490     0.00     0.00  double* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<double>(double const*, double const*, double*)
  0.00      0.29     0.00      488     0.00     0.00  std::_Bit_iterator std::__copy_move_a2<false, std::_Bit_iterator, std::_Bit_iterator>(std::_Bit_iterator, std::_Bit_iterator, std::_Bit_iterator)
  0.00      0.29     0.00      483     0.00     0.00  xyLoc* std::__uninitialized_copy<true>::__uninit_copy<xyLoc*, xyLoc*>(xyLoc*, xyLoc*, xyLoc*)
  0.00      0.29     0.00      483     0.00     0.00  std::_Niter_base<std::_Bit_const_iterator>::iterator_type std::__niter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)
  0.00      0.29     0.00      475     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::resize(unsigned long, xyLoc)
  0.00      0.29     0.00      472     0.00     0.00  void std::_Destroy<State**>(State**, State**)
  0.00      0.29     0.00      471     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      0.29     0.00      471     0.00     0.00  void std::pop_heap<__gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >, StateComparator>(__gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >, __gnu_cxx::__normal_iterator<State**, std::vector<State*, std::allocator<State*> > >, StateComparator)
  0.00      0.29     0.00      470     0.00     0.00  Timer::EndTimer()
  0.00      0.29     0.00      470     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.29     0.00      470     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      0.29     0.00      470     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&)
  0.00      0.29     0.00      470     0.00     0.00  __gnu_cxx::__normal_iterator<stats*, std::vector<stats, std::allocator<stats> > >::__normal_iterator(stats* const&)
  0.00      0.29     0.00      470     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.29     0.00      470     0.00     0.00  std::vector<Experiment, std::allocator<Experiment> >::size() const
  0.00      0.29     0.00      470     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.29     0.00      470     0.00     0.00  std::_Vector_base<xyLoc, std::allocator<xyLoc> >::_Vector_base(unsigned long, std::allocator<xyLoc> const&)
  0.00      0.29     0.00      470     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      0.29     0.00      470     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      0.29     0.00      470     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.29     0.00      470     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.29     0.00      470     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
