Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.44     0.00    49958     0.00     0.00  bool __gnu_cxx::operator==<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&, __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&)
  0.00      0.44     0.00    49491     0.00     0.00  xyLoc* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<xyLoc>(xyLoc const*, xyLoc const*, xyLoc*)
  0.00      0.44     0.00    49491     0.00     0.00  xyLoc* std::copy_backward<xyLoc*, xyLoc*>(xyLoc*, xyLoc*, xyLoc*)
  0.00      0.44     0.00    49491     0.00     0.00  xyLoc* std::__copy_move_backward_a<false, xyLoc*, xyLoc*>(xyLoc*, xyLoc*, xyLoc*)
  0.00      0.44     0.00    49491     0.00     0.00  xyLoc* std::__copy_move_backward_a2<false, xyLoc*, xyLoc*>(xyLoc*, xyLoc*, xyLoc*)
  0.00      0.44     0.00    11435     0.00     0.00  __gnu_cxx::new_allocator<xyLoc>::max_size() const
  0.00      0.44     0.00     8731     0.00     0.00  std::_Vector_base<xyLoc, std::allocator<xyLoc> >::_M_get_Tp_allocator() const
  0.00      0.44     0.00     8731     0.00     0.00  xyLoc* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<xyLoc>(xyLoc const*, xyLoc const*, xyLoc*)
  0.00      0.44     0.00     7520     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.44     0.00     7290     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<xyLoc> >::max_size(std::allocator<xyLoc> const&)
  0.00      0.44     0.00     7290     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::max_size() const
  0.00      0.44     0.00     7290     0.00     0.00  xyLoc* std::__uninitialized_copy<true>::__uninit_copy<xyLoc*, xyLoc*>(xyLoc*, xyLoc*, xyLoc*)
  0.00      0.44     0.00     7290     0.00     0.00  xyLoc* std::__copy_move_a<false, xyLoc*, xyLoc*>(xyLoc*, xyLoc*, xyLoc*)
  0.00      0.44     0.00     7290     0.00     0.00  xyLoc* std::__copy_move_a2<false, xyLoc*, xyLoc*>(xyLoc*, xyLoc*, xyLoc*)
  0.00      0.44     0.00     7290     0.00     0.00  xyLoc* std::uninitialized_copy<xyLoc*, xyLoc*>(xyLoc*, xyLoc*, xyLoc*)
  0.00      0.44     0.00     7290     0.00     0.00  xyLoc* std::__uninitialized_copy_a<xyLoc*, xyLoc*, xyLoc>(xyLoc*, xyLoc*, xyLoc*, std::allocator<xyLoc>&)
  0.00      0.44     0.00     7290     0.00     0.00  xyLoc* std::__uninitialized_move_if_noexcept_a<xyLoc*, xyLoc*, std::allocator<xyLoc> >(xyLoc*, xyLoc*, xyLoc*, std::allocator<xyLoc>&)
  0.00      0.44     0.00     7290     0.00     0.00  xyLoc* std::copy<xyLoc*, xyLoc*>(xyLoc*, xyLoc*, xyLoc*)
  0.00      0.44     0.00     6141     0.00     0.00  std::_Iter_base<double*, false>::_S_base(double*)
  0.00      0.44     0.00     6141     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      0.44     0.00     5673     0.00     0.00  Experiment::~Experiment()
  0.00      0.44     0.00     5558     0.00     0.00  std::_Vector_base<xyLoc, std::allocator<xyLoc> >::_M_deallocate(xyLoc*, unsigned long)
  0.00      0.44     0.00     5203     0.00     0.00  Experiment::Experiment(Experiment const&)
  0.00      0.44     0.00     5086     0.00     0.00  std::_Vector_base<xyLoc, std::allocator<xyLoc> >::_M_allocate(unsigned long)
  0.00      0.44     0.00     4762     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.44     0.00     4762     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.44     0.00     4607     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.44     0.00     4600     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      0.44     0.00     4261     0.00     0.00  std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*)
  0.00      0.44     0.00     4261     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      0.44     0.00     4222     0.00     0.00  ScenarioLoader::GetNthExperiment(int)
  0.00      0.44     0.00     4222     0.00     0.00  std::vector<Experiment, std::allocator<Experiment> >::operator[](unsigned long)
  0.00      0.44     0.00     4145     0.00     0.00  __gnu_cxx::new_allocator<xyLoc>::deallocate(xyLoc*, unsigned long)
  0.00      0.44     0.00     4145     0.00     0.00  __gnu_cxx::new_allocator<xyLoc>::allocate(unsigned long, void const*)
  0.00      0.44     0.00     4145     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<xyLoc> >::deallocate(std::allocator<xyLoc>&, xyLoc*, unsigned long)
  0.00      0.44     0.00     4145     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<xyLoc> >::allocate(std::allocator<xyLoc>&, unsigned long)
  0.00      0.44     0.00     3841     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.44     0.00     3645     0.00     0.00  std::vector<xyLoc, std::allocator<xyLoc> >::_M_check_len(unsigned long, char const*) const
  0.00      0.44     0.00     3321     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.44     0.00     2882     0.00     0.00  __gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >::__normal_iterator(xyLoc const* const&)
  0.00      0.44     0.00     2882     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      0.44     0.00     2882     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.44     0.00     2882     0.00     0.00  __gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >::base() const
  0.00      0.44     0.00     2882     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.44     0.00     2882     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.44     0.00     2882     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >, false>::_S_base(__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >)
  0.00      0.44     0.00     2882     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >, true>::_S_base(__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >)
  0.00      0.44     0.00     2882     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, false>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.44     0.00     2882     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, true>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.44     0.00     2882     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.44     0.00     2882     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.44     0.00     2882     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > > >(__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >)
  0.00      0.44     0.00     2882     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.44     0.00     2882     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.44     0.00     2882     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > > >(__gnu_cxx::__normal_iterator<xyLoc const*, std::vector<xyLoc, std::allocator<xyLoc> > >)
  0.00      0.44     0.00     2882     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.44     0.00     2882     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.44     0.00     2381     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
